index,Date,Amount,Department
0,2012-01,101565.55,Agricultural Experiment Sta
1,2012-02,144814.15,Agricultural Experiment Sta
2,2012-03,293999.92,Agricultural Experiment Sta
3,2012-04,123313.25,Agricultural Experiment Sta
4,2012-05,133417.5,Agricultural Experiment Sta
5,2012-06,208069.02,Agricultural Experiment Sta
6,2012-07,173802.46,Agricultural Experiment Sta
7,2012-08,200177.61,Agricultural Experiment Sta
8,2012-09,171455.73,Agricultural Experiment Sta
9,2012-10,219033.87,Agricultural Experiment Sta
10,2012-11,228228.14,Agricultural Experiment Sta
11,2012-12,210740.41999999998,Agricultural Experiment Sta
12,2013-01,133061.99,Agricultural Experiment Sta
13,2013-02,174673.24,Agricultural Experiment Sta
14,2013-03,189542.13,Agricultural Experiment Sta
15,2013-04,297988.08999999997,Agricultural Experiment Sta
16,2013-05,326846.7,Agricultural Experiment Sta
17,2013-06,179870.11000000002,Agricultural Experiment Sta
18,2013-07,151704.02,Agricultural Experiment Sta
19,2013-08,464329.69,Agricultural Experiment Sta
20,2013-09,177202.54,Agricultural Experiment Sta
21,2013-10,258314.8,Agricultural Experiment Sta
22,2013-11,161440.5,Agricultural Experiment Sta
23,2013-12,170274.11,Agricultural Experiment Sta
24,2014-01,138849.79,Agricultural Experiment Sta
25,2014-02,230841.38,Agricultural Experiment Sta
26,2014-03,147887.05,Agricultural Experiment Sta
27,2014-04,200011.25,Agricultural Experiment Sta
28,2014-05,192147.26,Agricultural Experiment Sta
29,2014-06,162079.04,Agricultural Experiment Sta
30,2014-07,115420.09,Agricultural Experiment Sta
31,2014-08,224021.21,Agricultural Experiment Sta
32,2014-09,209952.09,Agricultural Experiment Sta
33,2014-10,141988.5,Agricultural Experiment Sta
34,2014-11,225676.44,Agricultural Experiment Sta
35,2014-12,214623.86000000002,Agricultural Experiment Sta
36,2015-01,201257.64,Agricultural Experiment Sta
37,2015-02,188013.07,Agricultural Experiment Sta
38,2015-03,185756.84,Agricultural Experiment Sta
39,2015-04,312055.02999999997,Agricultural Experiment Sta
40,2015-05,148880.47,Agricultural Experiment Sta
41,2015-06,241186.51,Agricultural Experiment Sta
42,2015-07,167439.9,Agricultural Experiment Sta
43,2015-08,627472.8300000001,Agricultural Experiment Sta
44,2015-09,249919.04,Agricultural Experiment Sta
45,2015-10,241825.24000000002,Agricultural Experiment Sta
46,2015-11,238842.82,Agricultural Experiment Sta
47,2015-12,272561.8,Agricultural Experiment Sta
48,2016-01,193551.26,Agricultural Experiment Sta
