Fiscal Year,Department,Amount
2012,African-American Affairs,32242.23
2012,Agricultural Experiment Sta,2208617.62
2012,Asian Pacific American Comm,9564.04
2012,Attorney General's Office,3344645.63
2012,Auditors of Public Accounts,462199.36
2012,Brd of Ed / Services f/t Blind,7883304.56
2012,CT Housing & Fin. Authority,3366393.09
2012,CT Innovations Inc,18948679.75
2012,Chief Medical Examiner's Offc,965494.99
2012,Comm. Women Children & Seniors,60569.33
2012,Commission on Aging,1099.78
2012,Commission on Children,21258.25
2012,Connecticut State Library,9113196.82
2012,Connecticut State Universities,568498573.79
2012,DAS - Information Technology,20589332.05
2012,Department of Development Serv,755467718.32
2012,Dept of Administrative Svcs,297751153.17
2012,Dept of Emrg Svc & Public Prot,124209277.89
2012,Dept of Energy & Environ Prot.,219438067.02
2012,Dept. of Agriculture,16163142.93
2012,Dept. of Banking,1394162.59
2012,Dept. of Children and Families,552849342.86
2012,Dept. of Consumer Protection,4677961.53
2012,Dept. of Correction,366356315.64
2012,Dept. of Insurance,3029567.89
2012,Dept. of Labor,962749532.93
2012,Dept. of Motor Vehicles,17420206.04
2012,Dept. of Public Health,186109405.17
2012,Dept. of Revenue Services,7664021.75
2012,Dept. of Social Services,6303481272.77
2012,Dept. of Transportation,1582682493.02
2012,Dept. of Veterans' Affairs,10344818.38
2012,Division of Criminal Justice,4290107.11
2012,Econ. & Community Development,374050090.46
2012,Elections Enforcement,1538845.4
2012,Freedom of Information,182147.83
2012,Governor's Office,286772.34
2012,Human Rights & Opportunities,406046.95
2012,Judicial Branch,178451841.65
2012,Latino & Puerto Rican Affairs,71630.88
2012,Legislative Management,17739662.56
2012,Lieutenant Governor's Office,53491.53
2012,Mental Health & Addiction Serv,554124544.73
2012,Military Dept.,20752281.12
2012,Off of the Healthcare Advocate,184974.52
2012,Off. of Protection & Advocacy,265649.39
2012,Office of Higher Education,61039694.589999996
2012,Office of Policy & Management,393924052.63
2012,Office of State Ethics,79974.07
2012,Office of the State Treasurer,2049490547.8700001
2012,Probate Court Administration,32807178.6
2012,Public Defender Services,25398481.76
2012,Renters Rebate,23371083.81
2012,Secretary of the State,3773601.35
2012,State Comptroller's Office,1533456715.12
2012,State Dept of Education,3615709183.71
2012,Teachers' Retirement Board,2409788862.68
2012,UConn Health Center,269156992.31
2012,Worker's Compensation Commiss.,2201901.45
2013,African-American Affairs,28355.91
2013,Agricultural Experiment Sta,2685247.92
2013,Asian Pacific American Comm,5839.24
2013,Attorney General's Office,6230917.74
2013,Auditors of Public Accounts,265213.87
2013,CT Housing & Fin. Authority,20314952.27
2013,CT Innovations Inc,51713743.410000004
2013,Comm. Women Children & Seniors,50961.85
2013,Commission on Aging,1196.25
2013,Commission on Children,20972.39
2013,Connecticut State Library,10277039.3
2013,Connecticut State Universities,668409027.68
2013,DAS - Information Technology,22222395.73
2013,Department of Development Serv,768851126.79
2013,Dept of Administrative Svcs,294805286.62
2013,Dept of Emrg Svc & Public Prot,211380555.68
2013,Dept of Energy & Environ Prot.,258781148.68
2013,Dept. of Agriculture,15865786.34
2013,Dept. of Banking,1478770.08
2013,Dept. of Children and Families,543638937.86
2013,Dept. of Consumer Protection,3573143.96
2013,Dept. of Correction,355867323.72
2013,Dept. of Insurance,2513206.74
2013,Dept. of Labor,962786204.83
2013,Dept. of Motor Vehicles,17384725.27
2013,Dept. of Public Health,216359599.13
2013,Dept. of Rehab. Services,32607875.58
2013,Dept. of Revenue Services,7380573.6
2013,Dept. of Social Services,6983779092.17
2013,Dept. of Transportation,1736623244.02
2013,Dept. of Veterans' Affairs,7344446.42
2013,Division of Criminal Justice,4789068.76
2013,Econ. & Community Development,356279535.51
2013,Elections Enforcement,9587165.36
2013,Governor's Office,468061.76
2013,Human Rights & Opportunities,315181.2
2013,Judicial Branch,186441087.39
2013,Latino & Puerto Rican Affairs,51843.340000000004
2013,Legislative Management,19939470.64
2013,Lieutenant Governor's Office,66804.73
2013,Mental Health & Addiction Serv,568518685.97
2013,Military Dept.,14957405.11
2013,Off of the Healthcare Advocate,224906.73
2013,Off. of Protection & Advocacy,339069.61
2013,Office of Govt. Accountability,628932.75
2013,Office of Higher Education,54124219.35
2013,Office of Policy & Management,449684994.2
2013,Office of the State Treasurer,2016948964.66
2013,Probate Court Administration,33043713.14
2013,Public Defender Services,23260110.21
2013,Renters Rebate,24568487.88
2013,Secretary of the State,4166949.84
2013,State Comptroller's Office,1529891299.97
2013,State Dept of Education,3849064281.61
2013,Teachers' Retirement Board,2449156019.98
2013,UConn Health Center,309980142.2
2013,Worker's Compensation Commiss.,1888963.6
2014,African-American Affairs,34760.35
